"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.49196716808108e-206,1.39708562223344,0.368,0.159,2.09845182190604e-202,"1","ITM2A"
1.16648338297874e-205,0.65532479628303,0.861,0.675,1.64065887815959e-201,"1","RPSA"
1.3870943396678e-202,0.400348488391073,0.997,0.98,1.95094818874276e-198,"1","RPL21"
2.54521144772501e-197,1.3519169828482,0.329,0.134,3.57983990122523e-193,"1","FYN"
2.77931937895712e-192,0.639597181611108,0.85,0.698,3.90911270650319e-188,"1","RPL36"
6.04232180304295e-187,1.1131705858677,0.456,0.236,8.49852561597991e-183,"1","IL7R"
7.54039593731077e-183,0.445238391531432,0.961,0.891,1.06055668858276e-178,"1","RPL35A"
7.64764959884653e-182,0.588831498771123,0.821,0.598,1.07564191607776e-177,"1","CXCR4"
7.17781227377579e-179,0.443774924495827,0.955,0.892,1.00955929630657e-174,"1","RPL30"
1.34468382112808e-178,0.829037147382756,0.626,0.381,1.89129779441665e-174,"1","CLEC2D"
2.10181818944088e-177,0.53441968679899,0.911,0.806,2.9562072834486e-173,"1","RACK1"
2.99504467963355e-177,0.917047439996755,0.661,0.479,4.21253034190459e-173,"1","FXYD5"
6.28000438535234e-174,0.717610022545476,0.596,0.341,8.83282616799806e-170,"1","LTB"
6.2718292469846e-173,1.06843451273775,0.49,0.28,8.82132783588383e-169,"1","GPR183"
2.86003508517654e-171,0.411666879961831,0.976,0.928,4.0226393473008e-167,"1","RPL8"
1.01820866489631e-170,0.807725619034533,0.598,0.36,1.43211048717667e-166,"1","LDHB"
1.20922242986268e-168,0.401431582618696,0.973,0.93,1.70077134760186e-164,"1","RPLP2"
1.64622015060322e-168,0.462894243262637,0.94,0.878,2.31540864182342e-164,"1","RPL28"
1.35633094747099e-166,0.989605036072423,0.492,0.282,1.90767947761795e-162,"1","LEPROTL1"
3.41917539526761e-164,0.352521934537418,0.994,0.989,4.80907019344389e-160,"1","RPLP1"
5.98033412480708e-160,0.445371681948603,0.941,0.842,8.41133994654116e-156,"1","RPS8"
2.95222745638383e-156,0.50567895537524,0.895,0.772,4.15230791740386e-152,"1","RPL35"
2.66578812730468e-152,1.23787795840818,0.36,0.18,3.74943100105404e-148,"1","NR3C1"
6.57918138178723e-149,0.546992819306366,0.834,0.702,9.25361861348374e-145,"1","RPL7A"
2.6439433237862e-148,0.440770659375579,0.931,0.843,3.71870628490529e-144,"1","RPL29"
1.90733378620829e-147,0.395777967902273,0.958,0.894,2.68266497030196e-143,"1","RPL9"
2.66684120593352e-146,0.470335866630689,0.903,0.752,3.7509121561455e-142,"1","RPL10A"
2.25442234167001e-145,0.749981866293377,0.658,0.473,3.17084502355887e-141,"1","EEF2"
3.11664098474102e-144,0.34307851386699,0.987,0.952,4.38355554503824e-140,"1","RPS3A"
4.52925090345656e-141,0.40128710589675,0.948,0.866,6.37039139571166e-137,"1","RPL18"
9.36616065507498e-141,2.21024739463159,0.117,0.029,1.3173504961363e-136,"1","TMEM173"
1.87112712238099e-139,0.476820823739376,0.882,0.783,2.63174029762886e-135,"1","RPS28"
4.00778208408727e-139,0.362991948918217,0.983,0.915,5.63694550126875e-135,"1","PTMA"
9.96897063325174e-137,0.739369269261628,0.601,0.385,1.40213571956686e-132,"1","TRBC2"
6.94707099557364e-136,0.829017990923139,0.498,0.29,9.77105535527432e-132,"1","TRBC1"
1.08767966399573e-135,0.641582635724683,0.553,0.324,1.52982144740999e-131,"1","CD3D"
1.56808166911873e-135,0.539757282575599,0.753,0.547,2.2055068676155e-131,"1","NPM1"
5.07132870269181e-134,0.379854891053492,0.94,0.815,7.13282382033602e-130,"1","RPS5"
1.32268324055407e-133,0.434211022414895,0.911,0.823,1.86035397783929e-129,"1","RPS20"
1.06467317097614e-129,0.308829271659409,0.993,0.966,1.49746281497794e-125,"1","RPL15"
1.10515046270458e-126,0.324475213022683,0.975,0.932,1.55439412579399e-122,"1","RPS13"
1.43977237601008e-124,1.00045269429524,0.52,0.363,2.02503984685817e-120,"1","ZFP36"
3.61076336096103e-121,0.695267317611204,0.645,0.489,5.07853866719169e-117,"1","PTPRC"
7.45874178208644e-119,0.450974164688839,0.874,0.777,1.04907203165046e-114,"1","RPL24"
1.16473358668924e-118,1.15450519822138,0.332,0.17,1.63819778967841e-114,"1","IL32"
2.11288559730454e-118,0.991733080406801,0.326,0.164,2.97177359260884e-114,"1","LCK"
4.37765752411429e-114,1.40283062895751,0.246,0.115,6.15717530766674e-110,"1","ARID5B"
