"rank","gene"
1230,"ZNF277"
1231,"AIMP1"
1232,"SDHAF2"
1233,"SNRPE"
1234,"DCTN6"
1235,"EBAG9"
1236,"MFF"
1237,"LRIF1"
1238,"MUM1"
1239,"CCT8"
1240,"WIPI2"
1241,"JAK1"
1242,"ETFRF1"
1243,"METAP2"
1244,"HNRNPUL1"
1245,"CNPY2"
1246,"SREK1IP1"
1247,"TNRC6B"
1248,"ARFGAP2"
1249,"RDX"
1250,"C1orf35"
1251,"MRPL22"
1252,"PIGC"
1253,"PLEKHJ1"
1254,"SH2D1A"
1255,"LSM1"
1256,"HAX1"
1257,"SLC16A3"
1258,"DDX46"
1259,"MAF1"
1260,"WDR45"
1261,"MRPS34"
1262,"SRSF4"
1263,"CHTOP"
1264,"RPL26L1"
1265,"BUB3"
1266,"CD40"
1267,"FASTK"
1268,"RNF145"
1269,"RBL2"
1270,"UFC1"
1271,"ATF6B"
1272,"MAGOHB"
1273,"MRPS14"
1274,"RBPJ"
1275,"RNF138"
1276,"SMIM29"
1277,"AIDA"
1278,"ZNF148"
1279,"RGS18"
1280,"ASH1L"
1281,"ARL2"
1282,"NONO"
1283,"SMIM7"
1284,"CDC123"
1285,"ITGB7"
1286,"TAF9"
1287,"C12orf10"
1288,"BCL2"
1289,"GPBP1"
1290,"MAX"
1291,"N4BP2L2"
1292,"KARS"
1293,"VAPA"
1294,"JAGN1"
1295,"RASAL3"
1296,"RAC1"
1297,"IK"
1298,"UBE2V2"
1299,"RAD21"
1300,"RNASET2"
1301,"IFT20"
1302,"LPAR6"
1303,"AAMP"
1304,"UPF3B"
1305,"MRPL43"
1306,"ZNF32"
1307,"ZNF830"
1308,"TM2D1"
1309,"IGHA2"
1310,"MRPL24"
1311,"MTDH"
1312,"MRPS11"
1313,"NIPBL"
1314,"XPC"
1315,"AMD1"
1316,"COX14"
1317,"ABHD13"
1318,"AZIN1"
1319,"USP10"
1320,"RAB28"
1321,"HSD17B11"
1322,"MID1IP1"
1323,"TBPL1"
1324,"ATG12"
1325,"CCDC115"
1326,"PHPT1"
1327,"CCNH"
1328,"COX19"
1329,"FPR1"
1330,"RBM25"
1331,"ZNF224"
1332,"CCT6A"
1333,"MYCBP2"
1334,"MIA3"
1335,"G3BP1"
1336,"HSD17B10"
1337,"RASSF5"
1338,"GPR137B"
1339,"UQCRC2"
1340,"AIP"
1341,"DDIT3"
1342,"MEA1"
1343,"PCNP"
1344,"TMEM126A"
1345,"TSSC4"
1346,"APOL3"
1347,"MAD1L1"
1348,"SPCS1"
1349,"ZCRB1"
1350,"H2AFV"
1351,"HPCAL1"
1352,"C15orf40"
1353,"ILF3-DT"
1354,"DR1"
1355,"ODC1"
1356,"PPP1R12A"
1357,"ALG5"
1358,"CFAP97"
1359,"DRG1"
1360,"CCDC186"
1361,"CTSA"
1362,"C9orf16"
1363,"CCT7"
1364,"IL10"
1365,"SNAPIN"
1366,"CGGBP1"
1367,"ELF1"
1368,"FAM96A"
1369,"TMED10"
1370,"DPM1"
1371,"GIMAP6"
1372,"ADAM8"
1373,"SECISBP2"
1374,"SCML1"
1375,"SYPL1"
1376,"STXBP2"
1377,"PIP4P1"
1378,"APBB1IP"
1379,"CTCF"
1380,"USP1"
1381,"FBXO7"
1382,"SLAMF7"
1383,"PPP2R1A"
1384,"EIF1B"
1385,"VPS72"
